covid
cough
dry cough
fever
high temperature
sore throat
dyspnea
difficulty of breathing
headache
myalgia
body pain
body aches
muscle pain
rashes
diarrhea
loose bowel movement
tiredness
fatigue
weakness
chills
colds
runny nose
stuffy nose
chest pain
loss of smell
smell
loss of taste
taste
anorexia
loss of appetite
conjunctivitis
red eyes
nausea
vomiting
productive cough
cough with phlegm
low grade fever
shortness of breath
nasal congestion
cough for more than three weeks
tuberculosis
tb
hemoptysis
coughing up with blood
cough with blood
blood in phlegm
chest pain when coughing
weight loss
cachexia
afternoon fever
night sweat
cough with yellowish or greenish sputum
yellowish or greenish phlegm or mucus
phlegm with blood
blood-tinged sputum
rapid shallow breathing
fast breathing
Sweating
shaking chills
chest pain when you breath
pleuritic chest pain
feeling tired
pneumonia on chest xray
cyanosis
