"created_at","id","text"
"1771795865","3838424386752384868","Gagawa gawa ka ng kalokohan kasi eh. Tapos kbye"
"1771810522","3838547333211217405","Utak nya may ubo"
"1771777048","3838266535438340945","Same scenario. Nagkaron baby ko pneumonia when he was 2 months old, 3 days naadmit. May asthma and allergic rhinitis din siya. Halos every week kami nasa pedia, and yung last visit namin was just last week. Sabi ni doc, possible na lifelong na ito because of his allergies. Wala raw talaga cure, control and management lang. 7 months old palang baby ko ngayon pero ang dami dami na naming pinagdaanan. Di ka nagiisa mommy! Sobrang stress at pagod. Pero laban lang tayo 💖"
"1771810170","3838544385378760909","Yun nga momshie, walang cure and talagang need natin maagapan yung ubo't sipon 🥹 Hope your baby is always well and healthy. 🙏"
"1771810006","3838542999404669437","Dahil masama ang pakiramdam may ubo sipon naglaga ako ng fresh turmeric nawala ang running nose at pangangati ng lalamunan at may tunog na ang ubo ka ilangam kasi maagapan  para hindi tumagal stay muna sa loob ng bahay bawal madagdagan ang sakit may radiation  pa 
#nancypimentel 
#coughing"
"1771809035","3838534858058813491","Indi kanagid ya maagwantahan ok lng n ubo hilanat ari daw lala gd ya🥹🥹"
"1771808035","3838526469191126536","Forever na kami han akun ubo na fefeel kooo😭"
"1771807513","3838522096914230052","pwede kaya bakunahan ng anti rabies ang may ubo,
nag nebuLizer at antibiotics na bata?"
"1771806385","3838512631637037337","Effective na gamot sa ubo na matigas? Hirap ako lumunok pag hindi capsule huhu saka hirap din maglabas ng pleghm on my own"
"1771810488","3838547046613835059","mdoket qe ti paske mashum"
"1771810539","3838547477092153924","Ubo king flej tasht"
"1771808431","3838529792548308176","Nagsama na nmn sila
Stress, anxiety,ubo sipon pati na rin insomnia hayyy...
#insomnia  #anxietysupport  #fypシ゚"
"1771759095","3838115938004184664","Dili ing-ani nga Davao akong nailhan. Sige nakag ulan. Nag bago kana Davao City"
"1771807496","3838521947941232756","ganahan ko sa weather not until gi kalintura, gi ubo ug gi sipon nako🤧😂"
"1771804213","3838494414986187299","Mag sabaay napud ta kay di napud ta makatabi2 kay  tungod sa ubo huhuhuhuhu"
"1771803874","3838491566265224337","Nice unta kaayo ang panahon ganina buntag pero maka trigger sad kaayu sa akong sipon og ubo oy"
