"created_at","id","text"
"Sun Feb 22 16:02:01 +0000 2026","tweet-2025601982900343212","🛍️👮‍♂️ PATROLI PASAR | JAGA JAKARTA
Unit Patroli melaksanakan patroli di Pasar Sipon guna mengantisipasi aktivitas masyarakat yang berbelanja bukaan puasa.
📍 Lokasi: Pasar Sipon
Patroli dilakukan untuk menjaga keamanan, ketertiban, dan kelancaran aktivitas warga. https://t.co/6bgcFbSa7b"
"Sun Feb 22 16:01:46 +0000 2026","tweet-2025601919117656307","First 10 panel palang, tulo sipon agad e"
"Sun Feb 22 16:01:00 +0000 2026","tweet-2025601729493127418","え、そうなん？
いっぱいいっぱい"
"Sun Feb 22 15:56:05 +0000 2026","tweet-2025600489983967336","awa na lang sa tag ni moy, kahapon pa yan di makaakyat, pati si elon pagod na pagod na paangatin 

BBS HEATH 
BBS HEATH
BBS HEATH"
"Sun Feb 22 15:50:36 +0000 2026","tweet-2025599112838799799","di na nawala wala sipon ni yvan eh 😭"
"Sun Feb 22 15:41:34 +0000 2026","tweet-2025596838833951129","@PBBabscbn baka naman ayuk may balak ka na ipa check up si ash, sipon at ubo' get well soon bebe gurl. 

ASHRAVE SUN2 REUNITE
#AllOutForAshley"
"Sun Feb 22 15:40:13 +0000 2026","tweet-2025596496914313533","lecheng sipon pinapahirapan ako matulog 🫩"
"Sun Feb 22 15:29:41 +0000 2026","tweet-2025593846089052586","sobrang lala ng sipon ko, di ko maamoy yung coffee scent ng inhaler kahit anong singhot ang gawin ko"
"Sun Feb 22 15:26:38 +0000 2026","tweet-2025593079097672093","ウマ2000円パス追加草"
"Sun Feb 22 15:24:43 +0000 2026","tweet-2025592597029572705","ayoko na mag aral pagod na pagod na ko. ginagawa ko lang naman toh kasi required eh. aaaaaaaa ayoko naaaaaaa."
"Sun Feb 22 15:19:01 +0000 2026","tweet-2025591161982005268","Congratulations, Jillian for winning the big jump challenge! HAHAHA laro ka kuya, kaya pala pagod na pagod sya paglabas HAHAHA

anyways, BBS HEATH BBS CAPRICE 

#PBBCollab20RoadToBigNight https://t.co/ET3HD5kSc5"
"Sun Feb 22 15:18:49 +0000 2026","tweet-2025591113390973150","BAKIT BA SILA GANITO PAGOD NA  PAGOD NA Q"
"Sun Feb 22 15:18:23 +0000 2026","tweet-2025591002032124286","pagod na pagod na siya kay lori"
"Sun Feb 22 15:17:44 +0000 2026","tweet-2025590840463429906","Rave to Ashley: Alam mo ba mhie may ubo at sipon din ako ngayon.. HAHA

ASHRAVE SUN2 REUNITE
#AllOutForAshley https://t.co/gZzyIsEaqG"
"Sun Feb 22 15:14:03 +0000 2026","tweet-2025589912737558684","Walang sipon ubo at lagnat Kay rave Makita lang si ash .hahaha may pasumbong sumbong Kapa rave hah 🤣🤭🥰"
"Sun Feb 22 15:13:40 +0000 2026","tweet-2025589814532440094","pls lang pagod na pagod ako tapos ganto pa HAHAHAHAHAHAHHAHAAHHAHAHQHA PERO TAWANG TAWA TLGA AKO IMBIS NA MAGALIT"
"Sun Feb 22 15:06:20 +0000 2026","tweet-2025587969592357044","🚔🌙 PATROLI ANTISIPASI TAWURAN |
Kanit Intel IPTU Sujanarko bersama piket fungsi melaksanakan patroli preventif di Kali Sipon untuk mengantisipasi tawuran.
Hadir lebih awal, cegah lebih baik 💪🇮🇩
#PatroliMalam #AntisipasiTawuran #JagaJakarta #PolsekCipondoh #PolriPresisi https://t.co/UgpEDLEltD"
"Sun Feb 22 15:05:49 +0000 2026","tweet-2025587840793612539","Sobrang pagod na pagod na 😭"
"Sun Feb 22 15:02:07 +0000 2026","tweet-2025586910287241519","@velisseani Okay lang yan. Yung Ashtine nyo nga feeling singer may sipon naman pag kumakanta"
"Sun Feb 22 14:52:35 +0000 2026","tweet-2025584512143654994","grabeng pahirap sa buhay ‘tong sipon na’to"
"Sun Feb 22 14:50:48 +0000 2026","tweet-2025584061650190676","@mjlouvre his version of: pagod na pagod na pagod na ako!!"
"Sun Feb 22 14:46:39 +0000 2026","tweet-2025583015590813720","Grabe yung Meet greet and bye. May sipon nako, lalo pa kong sinipon. Galing 🫶😭"
"Sun Feb 22 14:28:33 +0000 2026","tweet-2025578462740914426","Pagod na pagod na pagod na pagod- *nag-dougie*"
"Sun Feb 22 14:22:01 +0000 2026","tweet-2025576817718137036","pagod na pagod na ko sa character ni nate pagpahingahin mo na sha na para va gang siya ang palaging victim"
