created_at,id,text,like_count
2026-05-15T02:23:51.000Z,2055111888745431476,"RT @geekyslut2: I just want to say that you are a good and sweet kisser too! 🥰😘😘😘mwuahhhh would love to kiss you all night long! 

@Maxton_…",0
2026-05-15T02:12:56.000Z,2055109145288966519,gikapoy gyud ko. promise.,0
2026-05-15T00:52:47.000Z,2055088973580738590,"Among bb Paul basta hilantan ah,sa Pag ilis sa diaper ni mag struggle Kay mo utong bataa uyy🥹pinaspasay jud dapat Kay mo utong doh🥹ug hilantan rapod siya ganurn",0
2026-05-15T00:27:54.000Z,2055082711816212818,nangluya gud,0
2026-05-15T00:02:04.000Z,2055076208447258856,"RT @sh0wnee: Bisaya ko, mas ming taas akong respeto ni Kim. Ayaw intawn iharos tanan Bisaya kay daghan napud mi gikapoy na ninyo sigeg depe…",0
2026-05-14T19:22:30.000Z,2055005852902527304,gikapoy nako’g paabot kanus a paman ka mo abot!,0
2026-05-14T18:24:34.000Z,2054991273464050103,tangina hurota najud wala nako kabalo unsaon pa nako ning tanan gikapoy na kaayo ko lord,0
2026-05-14T17:17:03.000Z,2054974285782126600,imoha nalang ni ako kinabuhi po labon gikapoy nako juskooo,0
2026-05-14T15:19:13.000Z,2054944631737971042,"RT @sh0wnee: Bisaya ko, mas ming taas akong respeto ni Kim. Ayaw intawn iharos tanan Bisaya kay daghan napud mi gikapoy na ninyo sigeg depe…",0
2026-05-14T15:19:07.000Z,2054944605289009281,"RT @sh0wnee: Bisaya ko, mas ming taas akong respeto ni Kim. Ayaw intawn iharos tanan Bisaya kay daghan napud mi gikapoy na ninyo sigeg depe…",0
2026-05-12T16:10:19.000Z,2054232715822878836,Sa sobra nilang palakaibigan pati yung nang hostage sa kanila kaibigan na rin nila.mas pagod pa kysa sa kanila.nagluya ra🤣 https://t.co/5gknPGdVI6,7
2026-05-12T11:50:35.000Z,2054167350858203556,@darelsol1984 nag niwang ka ba,0
2026-05-11T14:21:20.000Z,2053842901101424875,nag niwang nanaman ko kuno,0
2026-05-10T15:47:34.000Z,2053502213260263806,": medyo nag niwang na lage ka?

Shempre ikaw ba naman 3 weeks ang exam 😭",0
2026-05-09T13:00:23.000Z,2053097753736323239,Nagluya man akong  whisky uy.🥹,0
2026-05-06T07:23:10.000Z,2051925724345360860,"Sugpa
 😻⎐كُود⎐كؤِبُون⎐خـِصم⎐ 

⎐وايتس▬صيدليات▬ويتس⎐
⎐A102▬

⎐▬المطار▬⎐
⊵M24⊴

⎐نمشي⎐
⊵AABN⊴

 ⎐ستي⎐ماكـس⎐
⊴A9B⊴",0
2026-05-04T17:55:03.000Z,2051359966246932678,nagluya si sir Papi sa tan select tas grabi niya ka alive sa RH HAHAHAHAHAHAH!!,0
