created_at,id,text,like_count
2026-05-15T06:26:16.000Z,2055172894896898315,"RT @AYOKA1996: Most underrated Korean horror gems. 8/10🎬🎥🍿🎥🍿

pure chills❤️🥰🥰🥰 https://t.co/cNfrbpTZ9i",0
2026-05-15T06:26:15.000Z,2055172893957300457,"RT @xiuhongxh: NFSC聯盟譯統任務2️⃣2️⃣7️⃣5️⃣ 日语版
日本真成🇯🇵(籌申)農場

当记者询问川普总统：因为汉坦病毒病例增加美国是否应该重新加入世界卫生组织时，川普总统严厉的回击记者：不。我们似乎已经将事情控制得非常好。他们对那种病毒非常了解……不像…",0
2026-05-15T06:26:15.000Z,2055172892204081203,"RT @war_intell: 💭Opinion ;If the war become prolonged ,what will happen?

🇮🇷Iran absorbs economic collapse!
 🇮🇱Israel absorbs security fati…",0
2026-05-15T06:26:15.000Z,2055172891797327959,"RT @Karl_Fasc: OCCHIO !
 
STANNO RIPETENDO LO STESSO TEATRINO DEL COVID
CON L’HANTAVIRUS🤡💩🔥🖕🤡 https://t.co/e33fYwM506",0
2026-05-15T06:26:15.000Z,2055172891160007055,"@surabhi_tiwari_ Gentleness is not weakness, its power without violence.
Good Morning",0
2026-05-15T06:26:14.000Z,2055172889398087780,@willajrainbolt Legit felt like a fever dream,1
2026-05-15T06:26:14.000Z,2055172887531675853,"RT @Tocsin_Media: 🤯« Il faut se rappeler que, pendant le Covid, on parlait de porteurs asymptomatiques. 80% des tests PCR étaient des faux…",0
2026-05-15T06:26:13.000Z,2055172886042742928,"RT @Comptesclares: 🚨‼️🍿🚨‼️🍿
1. Ha arribat l’hora. Haviem dit que ho explicariwm

FCS Select. Una empresa que va fer un pilotassu de 263 mil…",0
2026-05-15T06:26:13.000Z,2055172885057024467,RT @LilianeR519950: Le professeur Montanier avait raison ! Il avait détecté une séquence génétique insérée du VIH et du virus de l'immunodé…,0
2026-05-15T06:26:13.000Z,2055172884205871252,RT @daydreamin: the way three days went past and we aren’t hearing of hantavirus anymore… covid really is the queen of this shit 😭😭☠️  http…,0
