"created_at","text","id"
"Tue Apr 22 23:57:36 +0000 2025","gak mood kerja sakit bgt perutku lagi haid arghhh mau bobokkkk 😭😭😭🫠🫠🫠😔","tweet-1914830981674229791"
"Tue Apr 22 23:57:22 +0000 2025","@ajunvkyu Km sakit apaa","tweet-1914830921720860803"
"Tue Apr 22 23:57:16 +0000 2025","ini kebanyakan ketawa rahang gua sakit bngt","tweet-1914830898467627316"
"Tue Apr 22 23:57:07 +0000 2025","Gak lagi sedih ataupun sakit hati, tapi cuma pengen repost. Buat temen-temen semangat menjalani kehidupan yaa! You're great, biidznillah 👍👌 
Niatkan segalanya untuk beribadah hanya kepada Allah 💖🌷","tweet-1914830857933873493"
"Tue Apr 22 23:56:56 +0000 2025","Gak pernah nyangka bakal ngerasain bulak balik ugd rumah sakit","tweet-1914830812144656456"
"Sat Jun 21 23:59:50 +0000 2025","Tiap malem nangis karna ada aja yg sakit, tulangku sampe sekarang masih sakit semua😭, gpp still lov u ayang.","tweet-1936574814170517681"
"Sat Jun 21 23:59:48 +0000 2025","@SB19MemeVice @SB19Official Wala po ata sa bokabularyo nila ang hindi masyado nakapagperform dahil may sakit o pagod! Ganyan po sila ka professional! Pagaling po!

SB19 UNLEASHED IN TAIWAN
@SB19Official
#SB19atHitoPop2025","tweet-1936574808294375746"
"Sat Jun 21 23:59:47 +0000 2025","@ody_odyaja Asli buat tetangga yg sekompleks perumahan ama si sender pliss, kalian muncul bkin kesaksian jga biar itu anak dan menantu di penjara, gilakk loh dibiarin sakit smpe meninggal sendirian dibiarin berhari-hari anjing, tuh anak bedua hrs dipenjara anjg, penelantaran ini aplgi sampe-","tweet-1936574804674703589"
"Sat Jun 21 23:59:47 +0000 2025","aguii haha sakit ng song","tweet-1936574802820771868"
"Sat Jun 21 23:59:39 +0000 2025","ini tenggorokan sakit bgt rasanya kaya kebakar","tweet-1936574769924833573"
"Sat Jun 21 23:59:36 +0000 2025","@kompascom Pasti ada akun ternak abah yang kepanasan &amp; sakit hati 😁😁😁","tweet-1936574755521638709"
"Sat Jun 21 23:59:34 +0000 2025","@vikririzk @ody_odyaja Wow mending coba rasain ditelantarin anak dengan diusir keluar rumah dari jam 5 pagi sampe jam 11 siang ga dikasih makan dan ga diurus saat sakit selama 3 hari kak","tweet-1936574747451731983"
"Sat Jun 21 23:59:20 +0000 2025","idup random bgt, tbtb sakit gigi","tweet-1936574691063611685"
"Sat Jun 21 23:58:55 +0000 2025","@DokterTifa Yg sakit itu kau dokter tipu😂🤣","tweet-1936574583861350838"
"Sat Jun 21 23:58:54 +0000 2025","@panggilajanakyy EH ITU SAKIT BGTTT PLS","tweet-1936574581432836252"
"Sat Jun 21 23:58:33 +0000 2025","@MUSIKMENFESS Kenriz - sakit hati
https://t.co/yVLS61hEME","tweet-1936574492157104128"
"Sat Jun 21 23:58:29 +0000 2025","ang sakit ng katawan ko pero all worth it. 
good morning to my jaywon ❤️✨

#WALK_THE_LINE_IN_BANGKOK 
#정원 #제이 #JUNGWON #JAY #JAYWON
#ジョンウォン #エンハイプン 
#ENHYPEN #엔하이픈 https://t.co/wkPmcaVApb","tweet-1936574477007261881"
"Sat Jun 21 23:58:17 +0000 2025","@STresnowati1 Jk ybs dianggap org yg sakit jiwa (ODGJ), mk para pengikut, buzxer dan pembelanya apapun latar belakangnya, mulai akademisi, profesional, politikus,  pengusaha, pekerja, wiraswasta, pelajar/mahasiswa termasuk pengangguran disebut  apa yah ? Apkh disbt org yg tak punya jiwa ?","tweet-1936574423903211804"
"Sat Jun 21 23:58:15 +0000 2025","@jhonsitorus_19 rencana tt pratikn dibuat sakit dilarikan ke luneg berobat 4 bulan saja sdh hilang kasus ijsh https://t.co/neqc5ckqTs","tweet-1936574418379296916"
"Sat Jun 21 23:58:15 +0000 2025","Hindi excuse ang sakit or sunod sunod na ganap sa SB19. Halimaw sa performance pa din 

@SB19Official 
#SB19","tweet-1936574418060472451"
"Sat Jun 21 23:58:07 +0000 2025","@elxxioooow @darksidesoflife @whoopziiy Karena fansnya Fuji ini pada sakit. Gabisa liat artis lain yg jauh lebih bagus kalo disamping Fuji. Liat aja tiap Fuji bareng artis/seleb cewe. Pasti langsung dibandingin. Belum lagi yg mendewakan dia kalo apa² viral karena dia.","tweet-1936574383369445689"
"Sat Jun 21 23:58:04 +0000 2025","@Hairyu3 @Hairyu3 wahh ikutan sakit 
Cepat baik yaa akunnya","tweet-1936574370119553088"
"Sat Jun 21 23:57:50 +0000 2025","@vikririzk @_myaanos @ody_odyaja Namanya juga ibadah ka pasti menguji kita, ngurus orang tua sakit pake hati nurani dan ksih sayang emang harus naif kalo pake logika susah ap aja diperhitungkan bgni.","tweet-1936574312171049220"
"Sat Jun 21 23:57:39 +0000 2025","Selamat Pagi Indonesia
Selamat Warga X

Selamat Hari Minggu

Yang Sakit Segera Pulih","tweet-1936574267023556840"
"Sat Jun 21 23:57:34 +0000 2025","Fansnya gunung itu emg pantatnya sakit krn liat mrk bahagia.

Aku ngikutin dr papanya tiba² meninggal, cerai, nikah lagi, ibu baru dipenjara.

Kekkkkk knp sih skrng dia mau bahagia aja hrs menghadapi orgil² pecinta gunung","tweet-1936574246744146138"
"Tue Apr 22 23:56:54 +0000 2025","@lenteqra duh sakit betul itu pasti","tweet-1914830803902840934"
"Tue Apr 22 23:56:53 +0000 2025","Semoga gaikutan sakit karna orang orang rumah pada sakit :(","tweet-1914830799171674125"
"Tue Apr 22 23:56:49 +0000 2025","cara ngatasin nyeri pas haid gimana bjil, sakit bgt","tweet-1914830782759363066"
"Tue Apr 22 23:56:46 +0000 2025","2. Mengatasi Nyeri (Analgesik)

Rebusan daun ini sering digunakan untuk meredakan nyeri, baik nyeri otot maupun sakit kepala. Kandungan analgesiknya membantu mengurangi rasa sakit secara alami.","tweet-1914830769924788388"
"Tue Apr 22 23:56:44 +0000 2025","gakuat sakit kepala 😭😭😭😭😭😭😭😭","tweet-1914830764082127027"
"Tue Apr 22 23:56:40 +0000 2025","@suffikamari @anwaribrahim Sakit ke nuar https://t.co/PXajkgPDmM","tweet-1914830747363631168"
"Tue Apr 22 23:56:37 +0000 2025","@Oliviaselalu ingat waktu sakit aja","tweet-1914830734155792809"
"Tue Apr 22 23:56:34 +0000 2025","damn….sakit bgt kocak","tweet-1914830723456098745"
"Tue Apr 22 23:56:33 +0000 2025","kepala dah sakit pening bgt tp mata gamau tidur tuh harus digimanain ini semaleman blm tidur samsek 😭😭","tweet-1914830718917861728"
"Tue Apr 22 23:56:11 +0000 2025","lego udah was was biair smyle ga jatoh, eh malah beneran jatoh😭😭😭 itu pasti sakit bangett, kasiaaaann tapi kayak kok bisa😭😭 https://t.co/dJCyaXNJEZ","tweet-1914830626764808496"
"Tue Apr 22 23:56:02 +0000 2025","hayop may sakit pa nga","tweet-1914830589263532153"
"Tue Apr 22 23:55:52 +0000 2025","Gini Jogj
Saya kan sakit, mau pake BPJS
Msh worth it ga?
Atau emank cuma sebatas BPJS?

Saya bingung harus memulai dari mana
Yg ngobatin jg sama2 sakitnya🥺","tweet-1914830545151820094"
"Tue Apr 22 23:55:52 +0000 2025","Patah hati karna pertemanan tu sumpah sakit banget gais, ga boong. Soalnya lu gabisa nge-confront dia dan gabisa juga maksain temen untuk tetep jadi temen lu, so sad to letting go but mau gimana lagi kannn","tweet-1914830543579132034"
"Tue Apr 22 23:55:49 +0000 2025","Just woke up, sakit ulo😭🥹

#IloiloCity https://t.co/52MA9DSBsx","tweet-1914830532841758893"
"Tue Apr 22 23:55:42 +0000 2025","@gcitars mungkin kenyataan yg lebih sakit","tweet-1914830505406853380"
"Tue Apr 22 23:55:36 +0000 2025","lg sakit gaenak bgt🥹","tweet-1914830480110760078"
"Tue Apr 22 23:55:15 +0000 2025","@katakataipa jangan sampai dah sakit lagi","tweet-1914830390659047721"
"Tue Apr 22 23:55:10 +0000 2025","SAKIT BGT PERUTKU YA ALLAHHHHHH https://t.co/aMZKENKUJ7","tweet-1914830370534777322"
"Tue Apr 22 23:54:55 +0000 2025","kalo lg sakit doang wkwkwkwkwk","tweet-1914830305166549374"
"Tue Apr 22 23:54:39 +0000 2025","part ygtb bener bener sakit banget nontonnya🫂","tweet-1914830238074462376"
"Thu May 22 23:56:25 +0000 2025","@JonathanRi32936 @kegblgnunfaedh Ada.

Dlm islam ada dalilnya.

org iman yg meninggal krn sakit perut mati syahid.

Sakit perut disini bermacam2 salah satunya ya maag, asam lambung n semacamnya.","tweet-1925702321192714320"
"Thu May 22 23:55:48 +0000 2025","@gildoura kirain sinetron kisah cinta yg ringan² aja karena posternya full bunga anjir lah ternyata film menguji mental, yg maen sakit mental yg nnton kena mental asw 😭😭","tweet-1925702164220895377"
"Thu May 22 23:55:37 +0000 2025","putangina sobrang sakit ng ulo ko","tweet-1925702118846959680"
"Thu May 22 23:55:15 +0000 2025","@wooniverzs sumpah sakit hati bgt bacanya","tweet-1925702026492535211"
"Thu May 22 23:54:54 +0000 2025","@eskikoenaktau__ malingnya mau sakit tapi ketawa","tweet-1925701936768004399"
"Thu May 22 23:54:52 +0000 2025","sakit ng kamao ko potek","tweet-1925701929595740400"
"Thu May 22 23:54:25 +0000 2025","hindi ko hilig mag ill wish pero tangina sana magkaroon ka nang malubhang sakit yung tipong gugustuhin mo nalang na mamatay ka!","tweet-1925701815460339904"
"Thu May 22 23:54:24 +0000 2025","Pagi-pagi adaa aja.
Aku jadi harus jalan kaki ke rumah, ya cuma 250 meter sih, tapi keadaan dengkulku sakit bgt. Soalnya halaman warungnya tuh pake plester 💔
Aku pake celana jeans aja, dengkulku masih lecet 🥲","tweet-1925701814235648320"
"Thu May 22 23:54:17 +0000 2025","@kittyshabrina @jjaehyunniz Fetish, sakit jiwa, gak ada otak, gak pernah nyentuh dunia luar... Smooth brain gitu aja sih","tweet-1925701780777660569"
"Thu May 22 23:54:06 +0000 2025","@neVerAl0nely Astagfirullah...
Udah pada sakit ini orang-orang jaman sekarang ..

Semoga lekas ditangkap pelakunya.. 
Kasih salam olahraga dulu, sebelum dikebiri..

🙃🙃🙃","tweet-1925701736481563121"
"Thu May 22 23:53:53 +0000 2025","@hawtyy_ Sakit banget ya 🥹","tweet-1925701680886055032"
