"created_at","text","id"
"Fri Feb 20 04:52:05 +0000 2026","dawet telasih bu dermi overrated trust me. Dawet Hj. Sipon much better","tweet-2024708616088146177"
"Fri Feb 20 04:15:06 +0000 2026","wtf ngayon ko narealize na sobrang dami kong ginawa this week to the point na hindi ko alam pagod na pagod na ako","tweet-2024699305685324030"
"Fri Feb 20 03:50:25 +0000 2026","@gmanetwork Kaya naman pagod na pagod na pagod ang may anak ng may ari ng school makapaypay lang, buwis buhay

#CapEath #CapriceCayetano #HeathJornales","tweet-2024693095405846537"
"Fri Feb 20 03:39:24 +0000 2026","@bremaine_xoxo @MotaRosali92609 umiiyak w sipon yan sha","tweet-2024690321209381214"
"Fri Feb 20 03:37:22 +0000 2026","i-tweet ko pa lang sana hahaha like ang swabe ng galaw kahit bench?? meanwhile yung warriors kanya kanyang pagtatae 💀","tweet-2024689811567890528"
"Fri Feb 20 03:32:08 +0000 2026","tgina nyo ssg at usg sumasabay pa kayo sa lagnat ko","tweet-2024688493977645400"
"Fri Feb 20 03:06:43 +0000 2026","pagod na pagod narin kakaisip hays","tweet-2024682099396198708"
"Fri Feb 20 02:58:55 +0000 2026","pagod na pagod nako 😭😭😭","tweet-2024680132724850916"
"Fri Feb 20 02:50:49 +0000 2026","lahat ba may ubo’t sipon at sore throat 🤣","tweet-2024678096251809850"
"Fri Feb 20 02:48:40 +0000 2026","Grabe di na nawalan ng lagnat every month ba to? umaaaaay sa mga gamot😭","tweet-2024677555014684860"
"Fri Feb 20 02:37:43 +0000 2026","last year parang di ako nagka-colds pero this year twice na ako nagka-sipon 😣 wag naman sana monthly to ano po","tweet-2024674800283897938"
"Fri Feb 20 02:34:56 +0000 2026","Ubo Sipon, Deserved! Laagan mn😂","tweet-2024674100560752951"
"Fri Feb 20 02:13:53 +0000 2026","🤧😷

Grabe tong sipon at ubo na to nkklk","tweet-2024668803398062147"
"Fri Feb 20 01:56:25 +0000 2026","@ohsipon banyak tingkah bgt sipon.","tweet-2024664404533662198"
"Fri Feb 20 01:39:34 +0000 2026","sakit tangina huhu pls kung magkakasakit ako kahit sipon na lang wag na ubo 🥹🙏","tweet-2024660165300257057"
"Fri Feb 20 01:17:26 +0000 2026","fresh pa rin kahit may lagnat sana all","tweet-2024654594065027161"
"Fri Feb 20 01:09:57 +0000 2026","Next year na uli yung lagnat na to","tweet-2024652711006982517"
"Fri Feb 20 01:06:19 +0000 2026","Di naman ako pa pinapapawisan pero di ako lagnat","tweet-2024651797974176083"
"Fri Feb 20 01:06:14 +0000 2026","@mysolacesvt13 no po! almost same din po ang contents ni decolgen at tuseran!

depende na lang po kung ano nararamdaman ni patient. yung decolgen po ay para sa may sipon (kaya siya may chlorphenamine maleate) at ang tuseran ay para sa may ubo (may dextromethorphan hbr).","tweet-2024651777266897239"
"Fri Feb 20 00:59:25 +0000 2026","ang unfair grabe kapag ako may lagnat parang pinaparusahan ako ng lahat ng santo tas si bading ganto kaganda? https://t.co/OLZk3zdeLO","tweet-2024650059892347171"
"Fri Feb 20 00:55:19 +0000 2026","ano bang sipon to mag 2 weeks na mabigat pa din","tweet-2024649029066612890"
