"created_at","id","text"
"Fri Feb 20 05:51:15 +0000 2026","tweet-2024723502214058280","Pahingi ng madaming pasensya ngayon araw natoh and sa mga susunod na araw. 😭

Pagod na pagod nako umitindi sa mga tao."
"Fri Feb 20 05:45:53 +0000 2026","tweet-2024722153225212002","@mwksiez HAHAHAHSHAAHA real daming absent samin lagnat daw"
"Fri Feb 20 05:13:09 +0000 2026","tweet-2024713914043552203","Pinaparusahan na naman ako sa mga kasalanan ko. Kung kelan talaga may ubo at sipon saka dinatnan. Kaya pala ang bilis ko na mairita. At sinakto pa talaga eh. Kada-ubo may bulwak shuta 😔🥴🫩"
"Fri Feb 20 05:10:47 +0000 2026","tweet-2024713320771834307","Kelan update thorrr 

— pagaling lang ako sa lagnat! and busy din kasi ako sa cbn since lapit na big night https://t.co/cL9n0Gkn93"
"Fri Feb 20 04:52:05 +0000 2026","tweet-2024708616088146177","dawet telasih bu dermi overrated trust me. Dawet Hj. Sipon much better"
"Fri Feb 20 04:15:06 +0000 2026","tweet-2024699305685324030","wtf ngayon ko narealize na sobrang dami kong ginawa this week to the point na hindi ko alam pagod na pagod na ako"
"Fri Feb 20 04:10:25 +0000 2026","tweet-2024698127949975691","puro gipang hilanat ya mga tao after bulang Hahaha"
"Fri Feb 20 03:50:25 +0000 2026","tweet-2024693095405846537","@gmanetwork Kaya naman pagod na pagod na pagod ang may anak ng may ari ng school makapaypay lang, buwis buhay

#CapEath #CapriceCayetano #HeathJornales"
"Fri Feb 20 03:39:24 +0000 2026","tweet-2024690321209381214","@bremaine_xoxo @MotaRosali92609 umiiyak w sipon yan sha"
"Fri Feb 20 03:32:08 +0000 2026","tweet-2024688493977645400","tgina nyo ssg at usg sumasabay pa kayo sa lagnat ko"
"Fri Feb 20 03:06:43 +0000 2026","tweet-2024682099396198708","pagod na pagod narin kakaisip hays"
"Fri Feb 20 02:58:55 +0000 2026","tweet-2024680132724850916","pagod na pagod nako 😭😭😭"
"Fri Feb 20 02:50:49 +0000 2026","tweet-2024678096251809850","lahat ba may ubo’t sipon at sore throat 🤣"
"Fri Feb 20 02:48:40 +0000 2026","tweet-2024677555014684860","Grabe di na nawalan ng lagnat every month ba to? umaaaaay sa mga gamot😭"
"Fri Feb 20 02:37:43 +0000 2026","tweet-2024674800283897938","last year parang di ako nagka-colds pero this year twice na ako nagka-sipon 😣 wag naman sana monthly to ano po"
"Fri Feb 20 02:34:56 +0000 2026","tweet-2024674100560752951","Ubo Sipon, Deserved! Laagan mn😂"
"Fri Feb 20 02:13:53 +0000 2026","tweet-2024668803398062147","🤧😷

Grabe tong sipon at ubo na to nkklk"
"Fri Feb 20 01:56:25 +0000 2026","tweet-2024664404533662198","@ohsipon banyak tingkah bgt sipon."
"Fri Feb 20 01:39:34 +0000 2026","tweet-2024660165300257057","sakit tangina huhu pls kung magkakasakit ako kahit sipon na lang wag na ubo 🥹🙏"
"Fri Feb 20 01:17:26 +0000 2026","tweet-2024654594065027161","fresh pa rin kahit may lagnat sana all"
"Fri Feb 20 01:09:57 +0000 2026","tweet-2024652711006982517","Next year na uli yung lagnat na to"
"Fri Feb 20 01:06:19 +0000 2026","tweet-2024651797974176083","Di naman ako pa pinapapawisan pero di ako lagnat"
"Fri Feb 20 01:06:14 +0000 2026","tweet-2024651777266897239","@mysolacesvt13 no po! almost same din po ang contents ni decolgen at tuseran!

depende na lang po kung ano nararamdaman ni patient. yung decolgen po ay para sa may sipon (kaya siya may chlorphenamine maleate) at ang tuseran ay para sa may ubo (may dextromethorphan hbr)."
"Fri Feb 20 00:59:25 +0000 2026","tweet-2024650059892347171","ang unfair grabe kapag ako may lagnat parang pinaparusahan ako ng lahat ng santo tas si bading ganto kaganda? https://t.co/OLZk3zdeLO"
"Fri Feb 20 00:55:19 +0000 2026","tweet-2024649029066612890","ano bang sipon to mag 2 weeks na mabigat pa din"
