disease,symptoms
COVID,"covid,cough,dry cough,fever,high temperature,sore throat,dyspnea,difficulty of breathing,headache,myalgia,body pain,body aches,muscle pain,rashes,diarrhea,loose bowel movement,tiredness,fatigue,weakness,chills,colds,runny nose,stuffy nose,chest pain,loss of smell,smell,loss of taste,taste,anorexia,loss of appetite,conjunctivitis,red eyes,nausea,vomiting,ubo,ubong walang plema,lagnat,mainit ang pakiramdam,may sinat,masakit ang lalamunan,makating lalamunan,nahihirapan huminga,hinahabol ang paghinga,masakit ang ulo,masakit ang katawan,pananakit ng katawan,pamumula sa balat,pagtatae,pagdumi ng maraming beses,pagkahapo,pagod na pagod,panghihina,panginginig ng katawan,parang nilalamig,sipon,tumutulo ang sipon,baradong ilong,masakit ang dibdib,mabigat ang dibdib,pagkawala ng pang-amoy,hindi masyadong makaamoy,walang panlasa,hindi makalasa,walang ganang kumain,hindi magana sa pagkain,mapula ang mata,pamumula ng mata,parang nasusuka,medyo nahihilo,pagsusuka,hubak,hubak na walay plema,hilanat,hilantan,init ang pamati,danggason,gi danggas ko,sakit ang tutunlan,katol ang tutunlan,nagkalisud ug hinga,halos dili ko ka ginhawa,sakit akong ulo,kaayo ang ulo,sakit ang lawas,nag sakit ang lawas,namuwa ang panit,naglibang,nag libang ug pila ka beses,gikapoy,hilabihang pangapoy,gikapoy ug maayo,nangluya,na ngurog ang lawas,murag gi tugnaw,sip-on,nag-tu ang sip-on,nag puot na ilong,sakit ang dughan,bug at ang dughan,nawa ang pang simhot,dili kaayo ka simhot,walay panlami,dili makatilaw,way gana mo kaon,dili ganahan mo kaon,pula ang mata,pula man iyang mata,panghubag sa mata,murag mo suka,nahilo gamay,pagkakasukaon,kasukao,biag a puyat,nabagbaga,nakaraot,nag-upa,agew ti puso,nagsalsal ti puso,pudot ti puso,nabati ti bagi,nag-init ti bagi,walay lakas,natandaan,naglumpay,nag-aalab,nag-amis ti ngipan,nagtarum,nagatunanen,nag-ising ti layag,nagsapul ti imahe,Gal-um,Katubig-tubig,Ginakapoy,Ginkurian,Ginahubian,Duta-duta ang tiyan,Nawad-an sang lasa kag baho,Nagakabuhi ang lalamunan,Daw maluya,Daw may hilanat,Indi maayo ang pamati,Nagapalangga ang lawas"
RI,"cough,productive cough,cough with phlegm,fever,high temperature,low grade fever,sore throat,dyspnea,difficulty of breathing,shortness of breath,myalgia,body pain,muscle pain,tiredness,fatigue,weakness,chills,colds,runny nose,stuffy nose,nasal congestion,chest pain,ubo,maplemang ubo,lagnat,mainit ang pakiramdam,may sinat,masakit ang lalamunan,makating lalamunan,nahihirapan huminga,hinahabol ang paghinga,masakit ang katawan,pananakit ng katawan,pagkahapo,pagod na pagod,panghihina,panginginig ng katawan,parang nilalamig,sipon,tumutulo ang sipon,baradong ilong,masakit ang dibdib,mabigat ang dibdib,hubak,huyang nga ubo,hilanat,init ang pamati,danggason/gi danggas ko,sakit ang tutunlan,katol ang tutunlan,nagkalisud ug hinga,halos dili ko ka ginhawa,sakit ang kalawasan,pamaol sa kalawasan,pangapoy,bug at ang kalawasan,gikapoy ug maayo,bug at ang kalawasan/bug at ang pamati,nagluya,na ngurog ang kalawasan,murag gi tugnaw,sip-on,nagtu ang sip-on,nag puot na ilong,sakit ang dughan/nagsakit ang dughan,bug at ang dughan,Nakakapoy,Narigrigat ti anges,Nakapal ti ulen,Nagsugpet ti agong,Nagsipnget ti barukong,Nalidem ti barukong,Mabug-at ti barukong,Nangisit ti mula,Nagpupuraw ti mata,Nagsugpet ti lalamunan,Nagsupsupit ti barukong,Dakes ti panagrikna,Nalamiis ngem init ti bagi,Gal-um,Nagakabuhi ang lalamunan,Ginakapoy,Ginkurian,Katubig-tubig,Daw maluya,Indi maayo ang pamati,Nagapalangga ang lawas,Nagapungot ang ilong,Naga-ulaw,Ginagal-um ang dughan,Bug-at ang dughan,Nagaipit ang dughan,Nagapaso ang dughan,Ginabuhian ang lalamunan,Puno ang ulo"
TB,"cough,cough for more than three weeks,tuberculosis,tb,hemoptysis,coughing up with blood,cough with blood,blood in phlegm,chest pain when coughing,dyspnea,difficulty of breathing,shortness of breath,weight loss,cachexia,fever,low grade fever,afternoon fever,night sweat,weakness,anorexia,loss of appetite,tiredness,fatigue,ubo,mahigit tatlong linggong ubo,matagal ng may ubo,hindi nawawala ang ubo,pag-ubo na may kasamang dugo,umuubo ng may dugo,may dugo sa plema,masakit sa dibdib kapag umuubo,masakit ang dibdib,nahihirapan huminga,hinahabol ang paghinga,pagbaba ng timbang,pamamayat,namamayat,pumapayat,lagnat,sinat,lagnat sa hapon o sa gabi,pagpapawis sa gabi,nagpapawis sa gabi,panghihina,nanghihina,walang ganang kumain,hindi magana sa pagkain,pagkahapo,pagod na pagod,hubak,kapin sa tulo ka semana nga ubo,dugay na hubak,dili mawa ang hubak,naghubak na naay kauban na dugo,nag sigi ug hubak na naay dugo,naay dugo sa kughal or plima,nag sakit ang dughan ug mo hubak,sakit ang dughan,nag lisud ug hinga,halos dili ka ginhawa,ning mubo ang timbang,pagkaniwang,nag niwang,moniwang,gi hilantan / hilanat,danggas / gi danggas ko,hilanat sa buntag ug gabii,pagpaningot sa magabii,nagpasinghot sa gabii,pagkaluya/nagluya,nagkahuyang/naluya,walay gana mo kaon,dili ganahan mo kaon,gikapoy/hilabihang pangapoy,gikapoy ug maayo,Narigrigat ti anges,Mabug-at ti barukong,Nagsugpet ti barukong,Nagpupuraw ti mula,Nangisit ti mula,Nakakapoy,Dakes ti panagrikna,Nalamiis ngem init ti bagi,Nagpapanglaw ti bagi,Nagbababa ti timbang,Nalamiis ti rabii ngem agpalpaltaw ti init,Nagsangit ti barukong,Nagsugpet ti dara iti mula,Agpupuraw ti mata,Nakapuy ti bagi,Narigat ti panagturog,Nagpapababa ti gana,Gal-um,Ginagal-um ang dughan,Bug-at ang dughan,Nagaipit ang dughan,Ginakapoy,Ginkurian,Katubig-tubig,Daw maluya,Indi maayo ang pamati,Nagapalangga ang lawas,Nagapaso ang dughan,Ginabuhian ang lalamunan,Nagahuyhoy,Nagaluha ang dughan,Gin-uuwaw,Nagapangluya,Ginagutom pero nagahinay ang timbang,Nagapangalisbo ang dughan,Nagapangalipay ang dughan"
PN,"cough,cough with phlegm,productive cough,cough with yellowish or greenish sputum,yellowish or greenish phlegm or mucus,phlegm with blood,blood-tinged sputum,hemoptysis,shortness of breath,difficulty of breathing,dyspnea,rapid shallow breathing,fast breathing,fever,chills,Sweating,shaking chills,chest pain,chest pain when you breath,pleuritic chest pain,loss of appetite,anorexia,fatigue,weakness,tiredness,feeling tired,pneumonia on chest xray,dry cough,cyanosis,ubo,ubong may plema,plemang kulay dilaw,plemang kulay berde,plemang may kasamang dugo,hirap sa paghinga,kinakapos sa paghinga,mahigpit ang ubo,lagnat,mataas na temperatura,lagnat sa gabi,mataas na lagnat,lagnat na may kasamang panginginig,giniginaw,masakit sa dibdib kapag umuubo,pagpapawis,masakit sa dibdib kapag humihinga ng malalim,pagkahingal,mabilis ang paghiinga,hinahabol ang paghinga,walang gana sa pagkain,nanghihina,pagkapagod,ubong walang plema,masikip sa dibdib kapang huminga,ubo nga naay plema,daghang plema,ubo nga naay dulaw ug berde plema,dulaw ug berde nga plema ug muhog,plemang may dugo,plema nga naay dugo,sugpa,mabaw ug pag ginhawa,kulian sa pag ginhawa,paspas ug mabaw ug pagginhawa,paspas ug pagginhawa,hilanat,katugnaw,gig balhas,kurog sa katugnaw,suol sa dughan,suol sa dughan kon moginhawa,suol pag ginhawa,walay gana,walay gana sa pagkaon,kakapoy,maluya,gikapoy,gibato nga kakapoy,pulmonya sa xray,mara ug ubo"
