cough
cough with phlegm
productive cough
cough with yellowish or greenish sputum
yellowish or greenish phlegm or mucus
phlegm with blood
blood-tinged sputum
hemoptysis
shortness of breath
difficulty of breathing
dyspnea
rapid shallow breathing
fast breathing
fever
chills
Sweating
shaking chills
chest pain
chest pain when you breath
pleuritic chest pain
loss of appetite
anorexia
fatigue
weakness
tiredness
feeling tired
pneumonia on chest xray
dry cough
cyanosis
ubo
ubong may plema
plemang kulay dilaw
plemang kulay berde
plemang may kasamang dugo
hirap sa paghinga
kinakapos sa paghinga
mahigpit ang ubo
lagnat
mataas na temperatura
lagnat sa gabi
mataas na lagnat
lagnat na may kasamang panginginig
giniginaw
masakit sa dibdib kapag umuubo
pagpapawis
masakit sa dibdib kapag humihinga ng malalim
pagkahingal
mabilis ang paghiinga
hinahabol ang paghinga
walang gana sa pagkain
nanghihina
pagkapagod
ubong walang plema
masikip sa dibdib kapang huminga
ubo nga naay plema
daghang plema
ubo nga naay dulaw ug berde plema
dulaw ug berde nga plema ug muhog
plemang may dugo
plema nga naay dugo
sugpa
mabaw ug pag ginhawa
kulian sa pag ginhawa
paspas ug mabaw ug pagginhawa
paspas ug pagginhawa
hilanat
katugnaw
gig balhas
kurog sa katugnaw
suol sa dughan
suol sa dughan kon moginhawa
suol pag ginhawa
walay gana
walay gana sa pagkaon
kakapoy
maluya
gikapoy
gibato nga kakapoy
pulmonya sa xray
mara ug ubo
