"createTime","id","locationMeta/address","locationMeta/city","locationMeta/cityCode","locationMeta/countryCode","locationMeta/locationId","locationMeta/locationName","playCount","repostCount","text","textLanguage","shareCount","searchQuery","hashtags/0/cover","hashtags/0/id","hashtags/0/name","hashtags/0/title","hashtags/1/cover","hashtags/1/id","hashtags/1/name","hashtags/1/title","hashtags/2/cover","hashtags/2/id","hashtags/2/name","hashtags/2/title","hashtags/3/cover","hashtags/3/id","hashtags/3/name","hashtags/3/title","hashtags/4/cover","hashtags/4/id","hashtags/4/name","hashtags/4/title","hashtags/5/cover","hashtags/5/id","hashtags/5/name","hashtags/5/title","hashtags/6/cover","hashtags/6/id","hashtags/6/name","hashtags/6/title","hashtags/7/cover","hashtags/7/id","hashtags/7/name","hashtags/7/title","hashtags/8/cover","hashtags/8/id","hashtags/8/name","hashtags/8/title","hashtags/9/cover","hashtags/9/id","hashtags/9/name","hashtags/9/title","hashtags/10/cover","hashtags/10/id","hashtags/10/name","hashtags/10/title","hashtags/11/cover","hashtags/11/id","hashtags/11/name","hashtags/11/title","hashtags/12/cover","hashtags/12/id","hashtags/12/name","hashtags/12/title","hashtags/13/cover","hashtags/13/id","hashtags/13/name","hashtags/13/title","hashtags/14/cover","hashtags/14/id","hashtags/14/name","hashtags/14/title","hashtags/15/cover","hashtags/15/id","hashtags/15/name","hashtags/15/title","hashtags/16/cover","hashtags/16/id","hashtags/16/name","hashtags/16/title","hashtags/17/cover","hashtags/17/id","hashtags/17/name","hashtags/17/title","hashtags/18/cover","hashtags/18/id","hashtags/18/name","hashtags/18/title","hashtags/19/cover","hashtags/19/id","hashtags/19/name","hashtags/19/title","hashtags/20/cover","hashtags/20/id","hashtags/20/name","hashtags/20/title","hashtags/21/cover","hashtags/21/id","hashtags/21/name","hashtags/21/title","hashtags/22/cover","hashtags/22/id","hashtags/22/name","hashtags/22/title","hashtags/23/cover","hashtags/23/id","hashtags/23/name","hashtags/23/title","hashtags/24/cover","hashtags/24/id","hashtags/24/name","hashtags/24/title","hashtags/25/cover","hashtags/25/id","hashtags/25/name","hashtags/25/title","hashtags/26/cover","hashtags/26/id","hashtags/26/name","hashtags/26/title","hashtags/27/cover","hashtags/27/id","hashtags/27/name","hashtags/27/title","hashtags/28/cover","hashtags/28/id","hashtags/28/name","hashtags/28/title","hashtags/29/cover","hashtags/29/id","hashtags/29/name","hashtags/29/title","hashtags/30/cover","hashtags/30/id","hashtags/30/name","hashtags/30/title","hashtags/31/cover","hashtags/31/id","hashtags/31/name","hashtags/31/title","hashtags/32/cover","hashtags/32/id","hashtags/32/name","hashtags/32/title","hashtags/33/cover","hashtags/33/id","hashtags/33/name","hashtags/33/title","hashtags/34/cover","hashtags/34/id","hashtags/34/name","hashtags/34/title","createTimeISO","commentCount","collectCount"
"1769607892","7600407866905742608",,,,,,,"8162","0","""MAHIRAP HUMINGA NG ""MAAYUS😓

""Kala mo naman malala yung sakit, e pneumonia lang naman""

to those people saying pneumonia is not that serious, having PNEUMONIA is NOT that EASY, dealing with cough that has blood, that feeling like someone is squeezing your chest tightly and it ends * up feeling like you can't breathe properly, your heart hurting when you cough. That feeling like when your trying so hard not to cough because you feel like your gonna run out of breath anytime. THAT CHEST PAIN HURTS SO MUCH. No words can explain the feeling of having pneumonia, so please, don't say such words if you haven't experienced it yet..

#fyp #pheumonia #awareness #pain ","en","41","nahihirapan huminga","","229207","fyp","","","1633557580616710","pheumonia","","","312522","awareness","","","8004","pain","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-01-28T13:44:52.000Z","7","27"
"1741009370","7477578287355579666",,,,,,,"520800","0","#asthma ","un","5879","nahihirapan huminga","","70215","asthma","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-03-03T13:42:50.000Z","451","5493"
"1723795263","7403644264548273415",,,,,,,"44700","0","Ang hirap pag may sakit Kang ganto nahihirapan ka huminga at nanghihina😭🤧","tl","39","nahihirapan huminga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2024-08-16T08:01:03.000Z","196","182"
"1700550622","7303809286143020293",,,,,,,"402600","0","#creditstotheowner #ctto #fypシ #ayradhudz #notoshadowbanned #followformore #likeandshare #healthyliving #health ","un","662","makating lalamunan","","4711025","creditstotheowner","","","4466458","ctto","","","1637342470396934","fypシ","","","1636205869364226","ayradhudz","","","1659952040924162","notoshadowbanned","","","209720","likeandshare","","https://p19-common-sign.tiktokcdn-us.com/tiktok-obj/661c8cc4ffb1d9b7d800bd84897c286c.png~tplv-tiktokx-origin.image?dr=9627&x-expires=1773136800&x-signature=v1vAXxiGaSjVFV4qBlzYLA8yUD8%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=9b759fb9&idc=useast5","1430012","healthyliving","Whether it's workout routines or healthy habits, share your tips for #HealthyLiving.","","13566","health","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2023-11-21T07:10:22.000Z","118","1202"
"1752501608","7526937077791984914",,,,,,,"24900","0","Kapag lumulon ka ng buhay na isda, pumipiglas ito habang bumababa sa iyong lalamunan kaya mas mahirap itong lunukin. Mas lalong delikado kung ang isda ay may matutulis na tinik dahil maaaring magasgasan ang iyong lalamunan. Kung sakaling malunok mo ito, mapupunta ito sa iyong tiyan—pero hindi ito magtatagal nang buhay doon. Ang asido sa tiyan ay sobrang tapang at mabilis nitong matutunaw ang isda. Gayunpaman, ang mga buhay na isda ay maaaring may dalang mga parasite tulad ng tapeworm na kayang mabuhay sa kabila ng asido sa tiyan at maaaring manirahan sa iyong digestive system. #fyp #tiktok ","tl","17","makating lalamunan","","229207","fyp","","","23428","tiktok","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-07-14T14:00:08.000Z","11","32"
"1635338001","7023723231093738778",,,,,,,"77800","0","So far effective naman to sakin.  #fyp","en","23","makating lalamunan","","229207","fyp","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2021-10-27T12:33:21.000Z","24","59"
"1688103551","7250349529394859270",,,,,,,"256500","0","#CapCut #fbvideos #insperational #fypシ゚viral #satisfyingvideo #tiktok #trending #fyp #tips #trending Gusto nyo ba mawala ang kati ng lalamunan panoorin nyo ng buo.","tl","800","makating lalamunan","","1663935709411330","capcut","CapCut is a new, easy-to-use video editing tool designed for mobile platforms. CapCut provides users with a wide range of video editing functions, filters, audio &amp; visual effects, video templates, while keeping it free of charge and ads-free. Everyone can be a creator by using CapCut.  

Start creating your cool videos today: 
https://capcut.onelink.me/XKqI/228cad85","","1649821852751873","fbvideos","","","183793","insperational","","","1664119477821441","fypシ゚viral","","","23899928","satisfyingvideo","","","23428","tiktok","","","20105","trending","Discover the top viral trends, sounds and effects of the week! 🔥","","229207","fyp","","","79189","tips","Show us your pro #Tips.","","20105","trending","Discover the top viral trends, sounds and effects of the week! 🔥",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2023-06-30T05:39:11.000Z","127","405"
"1761979442","7567644035221966101",,,,,,,"198500","0","Plema may Dugo? Ayos ang Sugat sa Lalamunan!#lalamunan #ubo","tl","36","makating lalamunan","","35641736","lalamunan","","","16699672","ubo","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-11-01T06:44:02.000Z","15","114"
"1767868031","7592935350465498388",,,,,,,"250900","0","Nakalunok ng Tinik ng Isda: Saging o Doktor? #tinik #tiniksalalamunan #lalamunan #natinik #natinikako","tl","1162","makating lalamunan","","41269723","tinik","","","1675479852432385","tiniksalalamunan","","","35641736","lalamunan","","","1604154001213442","natinik","","","1604320726673410","natinikako","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-01-08T10:27:11.000Z","516","626"
"1622548800","6968788655305395458",,,,,,,"9600000","0","Too embarrassing 😂 #iqiyi #fyp #myroomateisagumiho #张基龙 #장기용 #JangKiYong #李惠利 #이혜리 #LeeHye-ri #girl'sday #kdrama","en","316","makating lalamunan","","1602405428734982","iqiyi","","","229207","fyp","","","1695188516554753","myroomateisagumiho","","","1664851896480769","张基龙","","","1628336617909250","장기용","","","1601981369187330","jangkiyong","","","1634333789586434","李惠利","","","1628496674027521","이혜리","",,,"leehye-ri",,,,"girl'sday",,"","8705","kdrama","Addicted to Korean TV Shows &amp; Dramas like us? Share your recommendations for the best #KDrama to binge-watch! 🍿️ 🎬",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2021-06-01T12:00:00.000Z","1120","3845"
"1648956196","7082212931420556571",,,,,,,"90800","0","Reply to @ivanopiderpalen","en","65","makating lalamunan",,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-04-03T03:23:16.000Z","90","114"
"1771927929","7610372474487852306",,,,,,,"256","0","kalmahan lang daw, pero hinahabol ko hininga ko dito! HAHAHA 🤣
ito lang entry, di ko pala kaya ang dance trend nila. 😭
#VISA #PABLO #SB19 ","tl","1","hinahabol ang paghinga","","75598","visa","","","49805","pablo","","","1604797651309569","sb19","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-02-24T10:12:09.000Z","1","1"
"1773070208","7615278530901085458",,,,,,,"367","0","Please help me raise funds for my baby Yuna :( A few days ago napansin ko na hirap siya huminga and umuubo siya.Never pa siya nagkaganun before and base sa research ko ay may cat asthma siya.Since student palang po ako and wala pang stable na income except sa part time job ko sa isang maliit na pizza place sa town namin ay di ko talaga siya kaya madala sa vet since mahal at madaming kailangang procedures o gamit na bilhin.Tonight napansin ko na mas lumala yung paghinga niya and di na siya makakain at makainom ng tubig.Nag try siya uminom ng water pero nasuka siya meaning may naka block sa airways niya and need na need na ng urgent care sa vet.Please please please please help me po,I’ve had him for almost 3 years na this June.Nakita ko siya sa tabi ng kalsada as a small kitten and ever since ay ako na nag alaga at nagpalaki sa kanya.Mabait siya and super lambing na pusa and di ko po kaya na mawala siya so kahit ano po willing ako gawin para lang mapagamot siya.Please send help po or help me by finishing this video and sharing the link ☹️ if ever na may extra po kayo kahit piso is malaking tulong na po sa pagpapagamot ng cat ko thank you so much po and God bless  #cat #sickcat #fyp #helpme #catsoftiktok ","tl","13","hinahabol ang paghinga","","7551","cat","","","7880957","sickcat","","","229207","fyp","","","21283","helpme","","","1601336200518658","catsoftiktok","Meow.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-03-09T15:30:08.000Z","11","3"
"1773070535","7615279945283128594",,,,,,,"2695","0","Nakakainis yang pahawak-hawak na yan,nakaka-sikip ng paghinga 😩

•••
#biniph #binicolet #binistacey #colcey #fyp ","tl","6","hinahabol ang paghinga","","1682611550558210","biniph","","","1686229763676162","binicolet","","","1689585698790402","binistacey","","","7061047479063707674","colcey","","","229207","fyp","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-03-09T15:35:35.000Z","0","33"
"1772998578","7614970890974924040",,,,,,,"1145","0","Mga Sanhi ng Madalas Pagkapagod kahit Kumpleto ang Tulog
Marami ang nagtataka — kumpleto naman sa tulog, pero pagod pa rin pagkagising. 🤔
Narito ang mga posibleng dahilan kung bakit nangyayari ito, at paano mo ito maiiwasan:

⸻

1️⃣ Mababa ang Iron o May Anemia

Kapag kulang sa iron, hindi sapat ang oxygen na nadadala sa mga cells kaya nakakaramdam ng panghihina.
🩸 Solusyon: Kumain ng pagkaing mayaman sa iron tulad ng malunggay, spinach, at atay.

⸻

2️⃣ Kulang sa Physical Activity

Ang sobrang sedentary lifestyle ay nagpapabagal ng metabolismo at energy flow sa katawan.
🏃‍♀️ Solusyon: Maglakad o mag-ehersisyo kahit 15–30 minuto kada araw.

⸻

3️⃣ Labis ang Stress o Anxiety

Ang sobrang pag-iisip ay nakakaubos ng mental energy kahit natutulog ka ng maayos.
🧠 Solusyon: Mag-practice ng deep breathing o meditation bago matulog.

⸻

4️⃣ Dehydration

Ang kakulangan sa tubig ay nagdudulot ng sluggish feeling at fatigue sa umaga.
💧 Solusyon: Uminom ng 8–10 basong tubig araw-araw at isang baso pagkagising.

⸻

5️⃣ Mababang Blood Sugar

Kapag matagal kang hindi kumain, bumababa ang glucose level at nagiging dahilan ng panghihina.
🍽️ Solusyon: Huwag laging nilalampasan ang breakfast at iwasan ang sobrang matamis.

⸻

6️⃣ Hormonal Imbalance

Maaaring may problema sa thyroid o adrenal glands na nakakaapekto sa energy regulation.
🧬 Solusyon: Magpatingin sa doktor para sa tamang pagsusuri.

⸻

7️⃣ Sleep Apnea o Iregular na Paghinga Habang Tulog

Kahit mahaba ang tulog, hindi ito kalidad kung madalas huminto ang paghinga.
😴 Solusyon: Magpasuri kung madalas kang humihilik o pagod pa rin sa umaga.

⸻

8️⃣ Kakulangan sa Vitamin B Complex

Ang B Vitamins ay mahalaga sa energy production. Kapag kulang, madaling mapagod ang katawan.
🥚 Solusyon: Kumain ng itlog, whole grains, at green leafy vegetables.

⸻

9️⃣ Emotional Burnout

Ang sobrang pressure o kawalan ng motivation ay nagdudulot ng “mental fatigue.”
💭 Solusyon: Magpahinga sa mga gawain paminsan-minsan at hanapin ang bagay na nakapagpapasaya sa’yo.

⸻

🔟 Sobrang Paggamit ng Gadget Bago Matulog

Ang blue light ay nakakasira sa natural sleep rhythm kaya hindi ganap ang pahinga.
📱 Solusyon: Iwasan ang cellphone 30 minuto bago matulog.

⸻

💡 Tandaan:
Hindi sapat ang tulog kung hindi maayos ang kalidad nito.
Ang tunay na pahinga ay galing sa balanseng pagkain, tamang mindset, at malusog na lifestyle.","tl","8","hinahabol ang paghinga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-03-08T19:36:18.000Z","1","4"
