number,value,datetime_start,datetime_complete,duration,params_C,params_max_iter,state
0,0.6732533521524348,2026-05-29 14:32:38.173280,2026-05-29 14:32:40.001458,0 days 00:00:01.828178,0.03148911647956861,2500,COMPLETE
1,0.7233748271092669,2026-05-29 14:32:40.003218,2026-05-29 14:33:12.071041,0 days 00:00:32.067823,0.847180141881998,1800,COMPLETE
2,0.6429070580013976,2026-05-29 14:33:12.071823,2026-05-29 14:33:13.529574,0 days 00:00:01.457751,0.004207988669606638,1000,COMPLETE
3,0.6354515050167224,2026-05-29 14:33:13.530024,2026-05-29 14:33:15.112766,0 days 00:00:01.582742,0.0017073967431528124,2300,COMPLETE
4,0.7147814018043026,2026-05-29 14:33:15.113189,2026-05-29 14:33:17.401039,0 days 00:00:02.287850,0.25378155082656645,2000,COMPLETE
5,0.6346025384101537,2026-05-29 14:33:17.401481,2026-05-29 14:33:19.002549,0 days 00:00:01.601068,0.0012087541473056963,2500,COMPLETE
6,0.721399730820996,2026-05-29 14:33:19.002983,2026-05-29 14:33:39.502087,0 days 00:00:20.499104,2.136832907235876,1100,COMPLETE
7,0.6439499304589708,2026-05-29 14:33:39.502527,2026-05-29 14:33:41.388665,0 days 00:00:01.886138,0.005337032762603957,1100,COMPLETE
8,0.6600985221674877,2026-05-29 14:33:41.391770,2026-05-29 14:33:42.984327,0 days 00:00:01.592557,0.016480446427978974,1700,COMPLETE
9,0.680731364275668,2026-05-29 14:33:42.984851,2026-05-29 14:33:44.504799,0 days 00:00:01.519948,0.05342937261279776,1300,COMPLETE
10,0.7142857142857143,2026-05-29 14:33:44.505246,2026-05-29 14:34:25.689325,0 days 00:00:41.184079,7.606194283024027,1600,COMPLETE
11,0.7222595830531271,2026-05-29 14:34:25.690151,2026-05-29 14:34:41.249751,0 days 00:00:15.559600,0.7279036052811607,800,COMPLETE
12,0.7161981258366801,2026-05-29 14:34:41.250182,2026-05-29 14:34:45.215043,0 days 00:00:03.964861,0.40501042591416003,800,COMPLETE
13,0.7269076305220884,2026-05-29 14:34:45.215482,2026-05-29 14:35:18.010447,0 days 00:00:32.794965,1.1363180493902583,1600,COMPLETE
14,0.723433242506812,2026-05-29 14:35:18.010911,2026-05-29 14:35:46.814422,0 days 00:00:28.803511,2.1078026925740425,1700,COMPLETE
15,0.7135348226018396,2026-05-29 14:35:46.814959,2026-05-29 14:36:33.199370,0 days 00:00:46.384411,9.337471296421763,1400,COMPLETE
16,0.7242744063324539,2026-05-29 14:36:33.199807,2026-05-29 14:37:14.674537,0 days 00:00:41.474730,2.928380039008422,2000,COMPLETE
17,0.7078651685393258,2026-05-29 14:37:14.675063,2026-05-29 14:37:16.513142,0 days 00:00:01.838079,0.1711837825010195,2100,COMPLETE
18,0.7237969676994067,2026-05-29 14:37:16.513580,2026-05-29 14:37:57.263598,0 days 00:00:40.750018,2.887679362716758,2000,COMPLETE
19,0.7213114754098361,2026-05-29 14:37:57.264055,2026-05-29 14:38:25.348229,0 days 00:00:28.084174,0.979958863939565,1500,COMPLETE
