model,optuna_best_val_micro_f1,val_accuracy,val_micro_f1,val_macro_f1,val_hamming_loss,val_exact_match_ratio,test_accuracy,test_micro_f1,test_macro_f1,test_hamming_loss,test_exact_match_ratio,n_trials,best_params,thresholds
ClassifierChains_SGD,0.7142857142857143,0.6613672496025437,0.7142857142857143,0.7097523590902655,0.16375198728139906,0.6613672496025437,0.4149443561208267,0.5388739946380697,0.5313015758180657,0.27344992050874406,0.4149443561208267,20,"{""alpha"": 0.00012452668108659282, ""max_iter"": 2250, ""penalty"": ""elasticnet""}","{""AURI"": 0.1, ""COVID"": 0.18, ""PN"": 0.45, ""TB"": 0.18}"
BinaryRelevance_LogReg,0.7242524916943521,0.6629570747217806,0.7242524916943521,0.715988830071896,0.1649443561208267,0.6629570747217806,0.3767885532591415,0.5296803652968036,0.5175453710100657,0.28656597774244835,0.3767885532591415,20,"{""C"": 1.8013302744925745, ""max_iter"": 2100}","{""AURI"": 0.32, ""COVID"": 0.36, ""PN"": 0.39, ""TB"": 0.41}"
BinaryRelevance_SGD,0.7257617728531855,0.6820349761526232,0.7257617728531855,0.719973548896716,0.1573926868044515,0.6820349761526232,0.3863275039745628,0.5256673511293635,0.5169062752374338,0.27543720190779014,0.3863275039745628,20,"{""alpha"": 0.00012452668108659282, ""max_iter"": 2250, ""penalty"": ""elasticnet""}","{""AURI"": 0.48, ""COVID"": 0.47, ""PN"": 0.45, ""TB"": 0.46}"
ClassifierChains_LogReg,0.7143859649122807,0.670906200317965,0.7143859649122807,0.7099514516045748,0.16176470588235295,0.670906200317965,0.4165341812400636,0.5161744022503516,0.5104507464691544,0.27344992050874406,0.4165341812400636,20,"{""C"": 0.8867236671480978, ""max_iter"": 2200}","{""AURI"": 0.1, ""COVID"": 0.21, ""PN"": 0.48, ""TB"": 0.14}"
