model,split,label,tn,fp,fn,tp
ClassifierChains_SGD,val,AURI,387,43,61,138
ClassifierChains_SGD,val,PN,438,57,34,100
ClassifierChains_SGD,val,TB,413,70,36,110
ClassifierChains_SGD,val,COVID,351,73,38,167
ClassifierChains_SGD,test,AURI,363,83,65,118
ClassifierChains_SGD,test,PN,402,102,61,64
ClassifierChains_SGD,test,TB,368,123,48,90
ClassifierChains_SGD,test,COVID,293,149,57,130
