model,split,label,precision,recall,f1
BinaryRelevance_SGD,val,AURI,0.7172995780590717,0.8542713567839196,0.7798165137614679
BinaryRelevance_SGD,val,PN,0.6329113924050633,0.746268656716418,0.684931506849315
BinaryRelevance_SGD,val,TB,0.5842105263157895,0.7602739726027398,0.6607142857142857
BinaryRelevance_SGD,val,COVID,0.7451923076923077,0.7560975609756098,0.7506053268765133
BinaryRelevance_SGD,test,AURI,0.5509433962264151,0.7978142076502732,0.6517857142857143
BinaryRelevance_SGD,test,PN,0.3855421686746988,0.512,0.43986254295532645
BinaryRelevance_SGD,test,TB,0.38028169014084506,0.5869565217391305,0.46153846153846156
BinaryRelevance_SGD,test,COVID,0.48068669527896996,0.5989304812834224,0.5333333333333333
